Player,Club,League,Position,Age,Nationality,Weekly Wage,Contract until,Season
"Marcus C. Carrick","Elmsbury Rangers",Example League (ENG),Defender,34,Scotland,"£2,711",30.6.2029,2026/27
"Callum H. Thorne","Elmsbury Rangers",Example League (ENG),Midfielder,21,Scotland,"£7,132",30.6.2027,2026/27
"Owen O. Gorton","Elmsbury Rangers",Example League (ENG),Midfielder,33,Ireland,"£8,685",30.6.2028,2026/27
"Ellis H. Halliwell","Elmsbury Rangers",Example League (ENG),Goalkeeper,25,Sweden,"£5,482",30.6.2030,2026/27
"Owen I. Ashworth","Elmsbury Rangers",Example League (ENG),Forward,22,Portugal,"£6,517",30.6.2029,2026/27
"Tobias W. Halliwell","Elmsbury Rangers",Example League (ENG),Midfielder,29,Nigeria,"£4,772",30.6.2028,2026/27
"Reece T. Maddox","Elmsbury Rangers",Example League (ENG),Goalkeeper,20,Portugal,"£8,048",30.6.2029,2026/27
"Dominic R. Fairhurst","Elmsbury Rangers",Example League (ENG),Midfielder,29,England,"£5,638",30.6.2028,2026/27
"Marcus O. Ashworth","Elmsbury Rangers",Example League (ENG),Forward,20,Scotland,"£13,954",30.6.2029,2026/27
"Ashton U. Maddox","Elmsbury Rangers",Example League (ENG),Midfielder,19,Nigeria,"£9,945",30.6.2028,2026/27
"Dominic M. Gorton","Elmsbury Rangers",Example League (ENG),Forward,30,Scotland,"£3,390",30.6.2029,2026/27
"Ashton Y. Ashworth","Elmsbury Rangers",Example League (ENG),Goalkeeper,35,Scotland,"£6,051",30.6.2028,2026/27
"Rowan Q. Northrop","Elmsbury Rangers",Example League (ENG),Forward,18,England,"£5,946",30.6.2029,2026/27
"Dominic Z. Carrick","Elmsbury Rangers",Example League (ENG),Goalkeeper,32,England,"£8,241",30.6.2027,2026/27
"Owen Y. Maddox","Elmsbury Rangers",Example League (ENG),Midfielder,33,Nigeria,"£2,872",30.6.2030,2026/27
"Marcus R. Halliwell","Elmsbury Rangers",Example League (ENG),Midfielder,33,Ireland,"£10,545",30.6.2030,2026/27
"Ashton A. Carrick","Elmsbury Rangers",Example League (ENG),Goalkeeper,33,Sweden,"£7,094",30.6.2029,2026/27
"Dominic B. Fairhurst","Elmsbury Rangers",Example League (ENG),Forward,33,Portugal,"£3,403",30.6.2028,2026/27
"Tobias G. Fairhurst","Elmsbury Rangers",Example League (ENG),Forward,28,England,"£4,607",30.6.2028,2026/27
"Leon Z. Thorne","Elmsbury Rangers",Example League (ENG),Forward,23,Ireland,"£14,728",30.6.2028,2026/27
"Jarrod K. Ashworth","Elmsbury Rangers",Example League (ENG),Defender,30,England,"£5,494",30.6.2028,2026/27
"Ashton H. Winslow","Thornbridge FC",Example League (ENG),Midfielder,34,Scotland,"£2,847",30.6.2029,2026/27
"Dominic F. Rushton","Thornbridge FC",Example League (ENG),Forward,19,Sweden,"£13,741",30.6.2029,2026/27
"Jarrod J. Devlin","Thornbridge FC",Example League (ENG),Defender,36,Nigeria,"£6,427",30.6.2030,2026/27
"Jarrod V. Prentice","Thornbridge FC",Example League (ENG),Goalkeeper,23,Ireland,"£6,191",30.6.2029,2026/27
"Ashton K. Halliwell","Thornbridge FC",Example League (ENG),Goalkeeper,36,Scotland,"£4,253",30.6.2029,2026/27
"Callum Y. Winslow","Thornbridge FC",Example League (ENG),Midfielder,22,Nigeria,"£3,993",30.6.2028,2026/27
"Leon O. Fairhurst","Thornbridge FC",Example League (ENG),Defender,36,Scotland,"£6,286",30.6.2028,2026/27
"Reece M. Devlin","Thornbridge FC",Example League (ENG),Midfielder,34,Scotland,"£5,490",30.6.2029,2026/27
"Jarrod L. Maddox","Thornbridge FC",Example League (ENG),Midfielder,36,Nigeria,"£5,554",30.6.2029,2026/27
"Marcus N. Gorton","Thornbridge FC",Example League (ENG),Midfielder,21,Portugal,"£7,084",30.6.2028,2026/27
"Ashton H. Northrop","Thornbridge FC",Example League (ENG),Forward,30,Sweden,"£19,578",30.6.2030,2026/27
"Reece Q. Thorne","Thornbridge FC",Example League (ENG),Forward,36,Sweden,"£5,425",30.6.2030,2026/27
"Ashton K. Devlin","Thornbridge FC",Example League (ENG),Forward,25,England,"£4,496",30.6.2029,2026/27
"Callum H. Northrop","Thornbridge FC",Example League (ENG),Forward,23,Scotland,"£6,092",30.6.2029,2026/27
"Leon B. Ashworth","Thornbridge FC",Example League (ENG),Forward,31,Portugal,"£3,354",30.6.2029,2026/27
"Marcus L. Thorne","Thornbridge FC",Example League (ENG),Forward,25,Sweden,"£4,842",30.6.2027,2026/27
"Marcus F. Carrick","Thornbridge FC",Example League (ENG),Goalkeeper,19,Portugal,"£2,263",30.6.2030,2026/27
"Ellis A. Prentice","Thornbridge FC",Example League (ENG),Forward,32,England,"£4,576",30.6.2029,2026/27
"Owen G. Carrick","Thornbridge FC",Example League (ENG),Midfielder,29,Portugal,"£9,570",30.6.2029,2026/27
"Owen R. Carrick","Thornbridge FC",Example League (ENG),Midfielder,36,Portugal,"£7,779",30.6.2027,2026/27
"Rowan B. Maddox","Thornbridge FC",Example League (ENG),Defender,20,Scotland,"£5,142",30.6.2030,2026/27
"Rowan A. Northrop","Thornbridge FC",Example League (ENG),Goalkeeper,27,Portugal,"£2,572",30.6.2027,2026/27
"Dominic R. Gorton","Thornbridge FC",Example League (ENG),Forward,25,Portugal,"£5,837",30.6.2028,2026/27
"Ashton L. Carrick","Thornbridge FC",Example League (ENG),Defender,19,Nigeria,"£4,134",30.6.2029,2026/27
